"INDEX_NAME","SITE_TYPE","METRIC_NAME","SAMPLEID","METRIC_VALUE","INDEX_REGION","LEVEL","NUMERIC_RULES","SYMBOL","LOWER","UPPER","INCREASE","DESCRIPTION","RULE_TYPE","EXC_RULE","NOTE_RULE","MEMBERSHIP","NAME_WIDE"
"BCG_MariNW_Bugs500ct","higrad-hielev","ni_total","08109DFW",536,"HiGrad-HiElev",5,"≥ 400 (390-410)",">=",390,410,TRUE,"Number of total individuals","Rule0",NA,NA,1,"higrad-hielev_L5_Rule0_ni_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","ni_total","8160_13009",512,"HiGrad-HiElev",5,"≥ 400 (390-410)",">=",390,410,TRUE,"Number of total individuals","Rule0",NA,NA,1,"higrad-hielev_L5_Rule0_ni_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","ni_total","WAM06600-024284-DCE-2012-0804-09:00",564,"HiGrad-HiElev",5,"≥ 400 (390-410)",">=",390,410,TRUE,"Number of total individuals","Rule0",NA,NA,1,"higrad-hielev_L5_Rule0_ni_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","ni_total","WAM06600-024830-DCE-2015-0930-09:26",519,"HiGrad-HiElev",5,"≥ 400 (390-410)",">=",390,410,TRUE,"Number of total individuals","Rule0",NA,NA,1,"higrad-hielev_L5_Rule0_ni_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","ni_total","8760_13686",564,"HiGrad-HiElev",5,"≥ 400 (390-410)",">=",390,410,TRUE,"Number of total individuals","Rule0",NA,NA,1,"higrad-hielev_L5_Rule0_ni_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","ni_total","09054DFW",585,"HiGrad-HiElev",5,"≥ 400 (390-410)",">=",390,410,TRUE,"Number of total individuals","Rule0",NA,NA,1,"higrad-hielev_L5_Rule0_ni_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","ni_total","09106DFW",548,"HiGrad-HiElev",5,"≥ 400 (390-410)",">=",390,410,TRUE,"Number of total individuals","Rule0",NA,NA,1,"higrad-hielev_L5_Rule0_ni_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","ni_total","15009TRD",558,"HiGrad-HiElev",5,"≥ 400 (390-410)",">=",390,410,TRUE,"Number of total individuals","Rule0",NA,NA,1,"higrad-hielev_L5_Rule0_ni_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","ni_total","15010TRD",522,"HiGrad-HiElev",5,"≥ 400 (390-410)",">=",390,410,TRUE,"Number of total individuals","Rule0",NA,NA,1,"higrad-hielev_L5_Rule0_ni_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","ni_total","WAM06600-004237-DCE-2014-0716-11:33",536,"HiGrad-HiElev",5,"≥ 400 (390-410)",">=",390,410,TRUE,"Number of total individuals","Rule0",NA,NA,1,"higrad-hielev_L5_Rule0_ni_total"
