"INDEX_NAME","INDEX_CLASS","METRIC_NAME","SAMPLEID","METRIC_VALUE","LEVEL","NUMERIC_RULES","SYMBOL","LOWER","UPPER","INCREASE","DESCRIPTION","RULE_TYPE","EXC_RULE","NOTE_RULE","SITE_TYPE","INDEX_REGION","MEMBERSHIP","NAME_WIDE"
"BCG_MariNW_Bugs500ct","higrad-hielev","nt_EPT","05014REFa",22,4,"≥ 9 (6-12)",">=",6,12,TRUE,"Number of EPT taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L4_Rule0_nt_EPT"
"BCG_MariNW_Bugs500ct","higrad-hielev","nt_EPT","05014REFa",22,3,"≥ 15 (10-20)",">=",10,20,TRUE,"Number of EPT taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L3_Rule0_nt_EPT"
"BCG_MariNW_Bugs500ct","higrad-hielev","nt_EPT","06095DFW",29,5,"≥ 3 (1-5)",">=",1,5,TRUE,"Number of EPT taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L5_Rule0_nt_EPT"
"BCG_MariNW_Bugs500ct","higrad-hielev","nt_EPT","06095DFW",29,4,"≥ 9 (6-12)",">=",6,12,TRUE,"Number of EPT taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L4_Rule0_nt_EPT"
"BCG_MariNW_Bugs500ct","higrad-hielev","nt_EPT","06095DFW",29,3,"≥ 15 (10-20)",">=",10,20,TRUE,"Number of EPT taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L3_Rule0_nt_EPT"
"BCG_MariNW_Bugs500ct","higrad-hielev","nt_EPT","05014REF",30,5,"≥ 3 (1-5)",">=",1,5,TRUE,"Number of EPT taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L5_Rule0_nt_EPT"
"BCG_MariNW_Bugs500ct","higrad-hielev","nt_EPT","05014REF",30,4,"≥ 9 (6-12)",">=",6,12,TRUE,"Number of EPT taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L4_Rule0_nt_EPT"
"BCG_MariNW_Bugs500ct","higrad-hielev","nt_EPT","05014REF",30,3,"≥ 15 (10-20)",">=",10,20,TRUE,"Number of EPT taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L3_Rule0_nt_EPT"
"BCG_MariNW_Bugs500ct","higrad-hielev","nt_EPT_BCG_att1i23","05014REFa",15,3,"≥ 10 (5-15)",">=",5,15,TRUE,"Number of Attribute Ii+II+III EPT taxa","Rule0","Median","best 2nd of 3","HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L3_Rule0_nt_EPT_BCG_att1i23"
"BCG_MariNW_Bugs500ct","higrad-hielev","nt_EPT_BCG_att1i23","05014REFa",15,2,"≥ 18 (13-23)",">=",13,23,TRUE,"Number of Attribute Ii+II+III EPT taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",0.2,"higrad-hielev_L2_Rule0_nt_EPT_BCG_att1i23"
"BCG_MariNW_Bugs500ct","higrad-hielev","nt_EPT_BCG_att1i23","05014REF",20,3,"≥ 10 (5-15)",">=",5,15,TRUE,"Number of Attribute Ii+II+III EPT taxa","Rule0","Median","best 2nd of 3","HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L3_Rule0_nt_EPT_BCG_att1i23"
"BCG_MariNW_Bugs500ct","higrad-hielev","nt_EPT_BCG_att1i23","05014REF",20,2,"≥ 18 (13-23)",">=",13,23,TRUE,"Number of Attribute Ii+II+III EPT taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",0.7,"higrad-hielev_L2_Rule0_nt_EPT_BCG_att1i23"
"BCG_MariNW_Bugs500ct","higrad-hielev","nt_EPT_BCG_att1i23","06095DFW",19,3,"≥ 10 (5-15)",">=",5,15,TRUE,"Number of Attribute Ii+II+III EPT taxa","Rule0","Median","best 2nd of 3","HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L3_Rule0_nt_EPT_BCG_att1i23"
"BCG_MariNW_Bugs500ct","higrad-hielev","nt_EPT_BCG_att1i23","06095DFW",19,2,"≥ 18 (13-23)",">=",13,23,TRUE,"Number of Attribute Ii+II+III EPT taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",0.6,"higrad-hielev_L2_Rule0_nt_EPT_BCG_att1i23"
"BCG_MariNW_Bugs500ct","higrad-hielev","nt_ffg_pred_scrap_shred","06095DFW",28,2,"≥ 25 (20-30)",">=",20,30,TRUE,"Number of predator+scraper+shredder taxa","Rule0","Median","best 2nd of 3","HiGrad-HiElev","HiGrad-HiElev",0.8,"higrad-hielev_L2_Rule0_nt_ffg_pred_scrap_shred"
"BCG_MariNW_Bugs500ct","higrad-hielev","nt_ffg_pred_scrap_shred","06095DFW",28,5,"≥ 5 (3-7)",">=",3,7,TRUE,"Number of predator+scraper+shredder taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L5_Rule0_nt_ffg_pred_scrap_shred"
"BCG_MariNW_Bugs500ct","higrad-hielev","nt_ffg_pred_scrap_shred","06095DFW",28,4,"≥ 15 (10-20)",">=",10,20,TRUE,"Number of predator+scraper+shredder taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L4_Rule0_nt_ffg_pred_scrap_shred"
"BCG_MariNW_Bugs500ct","higrad-hielev","nt_ffg_pred_scrap_shred","06095DFW",28,3,"≥ 20 (15-25)",">=",15,25,TRUE,"Number of predator+scraper+shredder taxa","Rule0","Median","best 2nd of 3","HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L3_Rule0_nt_ffg_pred_scrap_shred"
"BCG_MariNW_Bugs500ct","higrad-hielev","nt_ffg_pred_scrap_shred","05014REFa",24,2,"≥ 25 (20-30)",">=",20,30,TRUE,"Number of predator+scraper+shredder taxa","Rule0","Median","best 2nd of 3","HiGrad-HiElev","HiGrad-HiElev",0.4,"higrad-hielev_L2_Rule0_nt_ffg_pred_scrap_shred"
"BCG_MariNW_Bugs500ct","higrad-hielev","nt_ffg_pred_scrap_shred","05014REFa",24,5,"≥ 5 (3-7)",">=",3,7,TRUE,"Number of predator+scraper+shredder taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L5_Rule0_nt_ffg_pred_scrap_shred"
"BCG_MariNW_Bugs500ct","higrad-hielev","nt_ffg_pred_scrap_shred","05014REFa",24,4,"≥ 15 (10-20)",">=",10,20,TRUE,"Number of predator+scraper+shredder taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L4_Rule0_nt_ffg_pred_scrap_shred"
"BCG_MariNW_Bugs500ct","higrad-hielev","nt_ffg_pred_scrap_shred","05014REFa",24,3,"≥ 20 (15-25)",">=",15,25,TRUE,"Number of predator+scraper+shredder taxa","Rule0","Median","best 2nd of 3","HiGrad-HiElev","HiGrad-HiElev",0.9,"higrad-hielev_L3_Rule0_nt_ffg_pred_scrap_shred"
"BCG_MariNW_Bugs500ct","higrad-hielev","nt_ffg_pred_scrap_shred","05014REF",29,2,"≥ 25 (20-30)",">=",20,30,TRUE,"Number of predator+scraper+shredder taxa","Rule0","Median","best 2nd of 3","HiGrad-HiElev","HiGrad-HiElev",0.9,"higrad-hielev_L2_Rule0_nt_ffg_pred_scrap_shred"
"BCG_MariNW_Bugs500ct","higrad-hielev","nt_ffg_pred_scrap_shred","05014REF",29,5,"≥ 5 (3-7)",">=",3,7,TRUE,"Number of predator+scraper+shredder taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L5_Rule0_nt_ffg_pred_scrap_shred"
"BCG_MariNW_Bugs500ct","higrad-hielev","nt_ffg_pred_scrap_shred","05014REF",29,4,"≥ 15 (10-20)",">=",10,20,TRUE,"Number of predator+scraper+shredder taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L4_Rule0_nt_ffg_pred_scrap_shred"
"BCG_MariNW_Bugs500ct","higrad-hielev","nt_ffg_pred_scrap_shred","05014REF",29,3,"≥ 20 (15-25)",">=",15,25,TRUE,"Number of predator+scraper+shredder taxa","Rule0","Median","best 2nd of 3","HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L3_Rule0_nt_ffg_pred_scrap_shred"
"BCG_MariNW_Bugs500ct","higrad-hielev","nt_total","05014REFa",48,3,"≥ 35 (30-40)",">=",30,40,TRUE,"Number of total taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L3_Rule0_nt_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","nt_total","05014REFa",48,5,"≥ 15 (10-20)",">=",10,20,TRUE,"Number of total taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L5_Rule0_nt_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","nt_total","05014REFa",48,2,"≥ 45 (40-50)",">=",40,50,TRUE,"Number of total taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",0.8,"higrad-hielev_L2_Rule0_nt_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","nt_total","05014REFa",48,4,"≥ 25 (20-30)",">=",20,30,TRUE,"Number of total taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L4_Rule0_nt_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","nt_total","06095DFW",48,3,"≥ 35 (30-40)",">=",30,40,TRUE,"Number of total taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L3_Rule0_nt_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","nt_total","06095DFW",48,5,"≥ 15 (10-20)",">=",10,20,TRUE,"Number of total taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L5_Rule0_nt_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","nt_total","06095DFW",48,2,"≥ 45 (40-50)",">=",40,50,TRUE,"Number of total taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",0.8,"higrad-hielev_L2_Rule0_nt_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","nt_total","06095DFW",48,4,"≥ 25 (20-30)",">=",20,30,TRUE,"Number of total taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L4_Rule0_nt_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","nt_total","05014REF",53,3,"≥ 35 (30-40)",">=",30,40,TRUE,"Number of total taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L3_Rule0_nt_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","nt_total","05014REF",53,5,"≥ 15 (10-20)",">=",10,20,TRUE,"Number of total taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L5_Rule0_nt_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","nt_total","05014REF",53,2,"≥ 45 (40-50)",">=",40,50,TRUE,"Number of total taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L2_Rule0_nt_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","nt_total","05014REF",53,4,"≥ 25 (20-30)",">=",20,30,TRUE,"Number of total taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L4_Rule0_nt_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","nt_volt_semi","05014REF",17,2,"≥ 12 (9-15)",">=",9,15,TRUE,"Number of semi-voltine taxa","Rule0","Median","best 2nd of 3","HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L2_Rule0_nt_volt_semi"
"BCG_MariNW_Bugs500ct","higrad-hielev","nt_volt_semi","06095DFW",14,2,"≥ 12 (9-15)",">=",9,15,TRUE,"Number of semi-voltine taxa","Rule0","Median","best 2nd of 3","HiGrad-HiElev","HiGrad-HiElev",0.833333333333333,"higrad-hielev_L2_Rule0_nt_volt_semi"
"BCG_MariNW_Bugs500ct","higrad-hielev","nt_volt_semi","05014REFa",14,2,"≥ 12 (9-15)",">=",9,15,TRUE,"Number of semi-voltine taxa","Rule0","Median","best 2nd of 3","HiGrad-HiElev","HiGrad-HiElev",0.833333333333333,"higrad-hielev_L2_Rule0_nt_volt_semi"
"BCG_MariNW_Bugs500ct","higrad-hielev","pi_BCG_att1i2","06095DFW",4.03669724770642,2,"≥ 5% (3-7)",">=",3,7,TRUE,"% Attribute Ii+II % individuals","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",0.259174311926605,"higrad-hielev_L2_Rule0_pi_BCG_att1i2"
"BCG_MariNW_Bugs500ct","higrad-hielev","pi_BCG_att1i2","05014REFa",15.4440154440154,2,"≥ 5% (3-7)",">=",3,7,TRUE,"% Attribute Ii+II % individuals","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L2_Rule0_pi_BCG_att1i2"
"BCG_MariNW_Bugs500ct","higrad-hielev","pi_BCG_att1i2","05014REF",13.6268343815514,2,"≥ 5% (3-7)",">=",3,7,TRUE,"% Attribute Ii+II % individuals","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L2_Rule0_pi_BCG_att1i2"
"BCG_MariNW_Bugs500ct","higrad-hielev","pi_BCG_att1i23","05014REFa",49.4208494208494,3,"≥ 20% (15-25)",">=",15,25,TRUE,"% Attribute Ii+II+III % individuals","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L3_Rule0_pi_BCG_att1i23"
