"SampleID","L1","L2","L3","L4","L5","L6","Memb.Total","Memb.QC","Lev.1.Memb","Lev.1.Name","Lev.2.Memb","Lev.2.Name","Lev.Memb.Diff","Lev.Memb.close","Lev.Prop.Num","Lev.Prop.Nar"
"09106DFW",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"14005RBS",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"14008RBS",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"14015RBS",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"15009TRD",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"15010TRD",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"16001TRD",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"16010TRD",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"16018PRB",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"17003TRD",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"17014TRD",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"5772_8645",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"7296_11895",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"8160_13009",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"8758_13684",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"8760_13686",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"8783_13706",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"9132_14066",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"9259_14262",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"9708_14726",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"9769_14788",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"BIO06600-BIGC04-DCE-2012-0828-10:25",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"BIO06600-BIGC04-DCE-2012-0920-10:50",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"BIO06600-BIGC04-DCE-2015-0727-13:04",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"BIO06600-BLAC77-DCE-2012-0911-11:15",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"BIO06600-BLAC77-DCE-2014-1006-12:15",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"BIO06600-BLAC77-DCE-2016-0817-10:09",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"BIO06600-CAYA04-DCE-2012-0827-10:00",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"BIO06600-CAYA04-DCE-2015-0728-11:30",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"BIO06600-DEER04-DCE-2015-1012-12:10",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"BIO06600-GOLD77-DCE-2017-0816-16:02",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"BIO06600-HUCK04-DCE-2012-0828-10:15",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"BIO06600-HUCK04-DCE-2014-0805-11:45",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"BIO06600-HUCK04-DCE-2014-0805-12:00",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"BIO06600-HUCK04-DCE-2015-1006-10:46",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"BIO06600-HUCK04-DCE-2017-0802-10:08",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"BIO06600-KALA04-DCE-2012-0830-11:30",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"BIO06600-NSKO01-DCE-2011-0920-11:00",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"BIO06600-NSKO01-DCE-2014-0917-11:36",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
