"SAMPLEID","INDEX_NAME","INDEX_REGION","ni_total","nt_total"
"8758_13684","BCG_MariNW_Bugs500ct","HiGrad-HiElev",526,54
"8760_13686","BCG_MariNW_Bugs500ct","HiGrad-HiElev",564,36
"8783_13706","BCG_MariNW_Bugs500ct","HiGrad-HiElev",574,43
"9132_14066","BCG_MariNW_Bugs500ct","HiGrad-HiElev",519,43
"9259_14262","BCG_MariNW_Bugs500ct","HiGrad-HiElev",553,49
"9708_14726","BCG_MariNW_Bugs500ct","HiGrad-HiElev",541,49
"9769_14788","BCG_MariNW_Bugs500ct","HiGrad-HiElev",580,51
"BIO06600-BIGC04-DCE-2012-0828-10:25","BCG_MariNW_Bugs500ct","HiGrad-HiElev",547,57
"BIO06600-BIGC04-DCE-2012-0920-10:50","BCG_MariNW_Bugs500ct","HiGrad-HiElev",566,51
"BIO06600-BIGC04-DCE-2015-0727-13:04","BCG_MariNW_Bugs500ct","HiGrad-HiElev",531,52
"BIO06600-BLAC77-DCE-2012-0911-11:15","BCG_MariNW_Bugs500ct","HiGrad-HiElev",542,34
"BIO06600-BLAC77-DCE-2014-1006-12:15","BCG_MariNW_Bugs500ct","HiGrad-HiElev",556,30
"BIO06600-BLAC77-DCE-2016-0817-10:09","BCG_MariNW_Bugs500ct","HiGrad-HiElev",549,38
"BIO06600-CAYA04-DCE-2012-0827-10:00","BCG_MariNW_Bugs500ct","HiGrad-HiElev",547,50
"BIO06600-CAYA04-DCE-2015-0728-11:30","BCG_MariNW_Bugs500ct","HiGrad-HiElev",540,46
"BIO06600-DEER04-DCE-2015-1012-12:10","BCG_MariNW_Bugs500ct","HiGrad-HiElev",548,65
"BIO06600-GOLD77-DCE-2017-0816-16:02","BCG_MariNW_Bugs500ct","HiGrad-HiElev",548,35
"BIO06600-HUCK04-DCE-2012-0828-10:15","BCG_MariNW_Bugs500ct","HiGrad-HiElev",549,42
"BIO06600-HUCK04-DCE-2014-0805-11:45","BCG_MariNW_Bugs500ct","HiGrad-HiElev",538,53
"BIO06600-HUCK04-DCE-2014-0805-12:00","BCG_MariNW_Bugs500ct","HiGrad-HiElev",521,37
"BIO06600-HUCK04-DCE-2015-1006-10:46","BCG_MariNW_Bugs500ct","HiGrad-HiElev",556,48
"BIO06600-HUCK04-DCE-2017-0802-10:08","BCG_MariNW_Bugs500ct","HiGrad-HiElev",538,46
"BIO06600-KALA04-DCE-2012-0830-11:30","BCG_MariNW_Bugs500ct","HiGrad-HiElev",568,41
"BIO06600-NSKO01-DCE-2011-0920-11:00","BCG_MariNW_Bugs500ct","HiGrad-HiElev",549,43
"BIO06600-NSKO01-DCE-2014-0917-11:36","BCG_MariNW_Bugs500ct","HiGrad-HiElev",536,44
"BIO06600-NSKO01-DCE-2016-0915-10:04","BCG_MariNW_Bugs500ct","HiGrad-HiElev",555,44
"BIO06600-QUAR77-DCE-2015-0715-10:11","BCG_MariNW_Bugs500ct","HiGrad-HiElev",521,50
"BIO06600-RACE77-DCE-2015-0813-11:45","BCG_MariNW_Bugs500ct","HiGrad-HiElev",556,52
"BIO06600-RACE77-DCE-2017-0809-10:59","BCG_MariNW_Bugs500ct","HiGrad-HiElev",568,54
"BIO06600-ROBI77-DCE-2015-0930-08:25","BCG_MariNW_Bugs500ct","HiGrad-HiElev",541,40
"BIO06600-RUSH04-DCE-2012-0918-09:15","BCG_MariNW_Bugs500ct","HiGrad-HiElev",529,55
"BIO06600-RUSH04-DCE-2015-0908-08:33","BCG_MariNW_Bugs500ct","HiGrad-HiElev",539,49
"BIO06600-RUSH04-DCE-2016-0830-09:10","BCG_MariNW_Bugs500ct","HiGrad-HiElev",547,58
"BIO06600-SINL77-DCE-2016-0921-09:58","BCG_MariNW_Bugs500ct","HiGrad-HiElev",555,44
"BIO06600-SUMM04-DCE-2012-0829-09:30","BCG_MariNW_Bugs500ct","HiGrad-HiElev",565,43
"BIO06600-SUMM04-DCE-2017-0726-09:59","BCG_MariNW_Bugs500ct","HiGrad-HiElev",540,49
"BIO06600-SUND04-DCE-2015-0722-10:41","BCG_MariNW_Bugs500ct","HiGrad-HiElev",531,60
"BIO06600-SUND04-DCE-2017-0725-10:10","BCG_MariNW_Bugs500ct","HiGrad-HiElev",592,57
"BIO06600-WARC77-DCE-2012-0816-08:50","BCG_MariNW_Bugs500ct","HiGrad-HiElev",533,33
"BIO06600-WARC77-DCE-2015-0923-09:04","BCG_MariNW_Bugs500ct","HiGrad-HiElev",552,51
"BIO06600-WARC77-DCE-2017-0816-08:47","BCG_MariNW_Bugs500ct","HiGrad-HiElev",547,51
"BIO06600-YOUN02-DCE-2013-0731-12:00","BCG_MariNW_Bugs500ct","HiGrad-HiElev",538,56
"BIO06600-YOUN02-DCE-2017-0712-13:41","BCG_MariNW_Bugs500ct","HiGrad-HiElev",563,45
"ERR06600-049208-DCE-2012-0803-10:30","BCG_MariNW_Bugs500ct","HiGrad-HiElev",560,41
"SEN06600-LAUG07-DCE-2011-0913-12:00","BCG_MariNW_Bugs500ct","HiGrad-HiElev",547,63
"SEN06600-LAUG07-DCE-2012-0905-11:30","BCG_MariNW_Bugs500ct","HiGrad-HiElev",536,56
"SEN06600-LAUG07-DCE-2013-0910-12:30","BCG_MariNW_Bugs500ct","HiGrad-HiElev",534,52
"SEN06600-LAUG07-DCE-2014-0806-11:00","BCG_MariNW_Bugs500ct","HiGrad-HiElev",536,71
"SEN06600-LAUG07-DCE-2015-0923-11:23","BCG_MariNW_Bugs500ct","HiGrad-HiElev",548,49
"SEN06600-LAUG07-DCE-2016-0810-10:34","BCG_MariNW_Bugs500ct","HiGrad-HiElev",546,62
"SEN06600-LAUG07-DCE-2017-0830-11:19","BCG_MariNW_Bugs500ct","HiGrad-HiElev",569,53
"SEN06600-MARB21-DCE-2012-0814-12:30","BCG_MariNW_Bugs500ct","HiGrad-HiElev",550,59
"SEN06600-MARB21-DCE-2013-0821-10:15","BCG_MariNW_Bugs500ct","HiGrad-HiElev",575,57
"SEN06600-MARB21-DCE-2014-0828-11:00","BCG_MariNW_Bugs500ct","HiGrad-HiElev",550,50
"SEN06600-MARB21-DCE-2015-0915-08:22","BCG_MariNW_Bugs500ct","HiGrad-HiElev",539,61
"SEN06600-MARB21-DCE-2016-0728-09:30","BCG_MariNW_Bugs500ct","HiGrad-HiElev",546,54
"SEN06600-MARB21-DCE-2017-0727-10:00","BCG_MariNW_Bugs500ct","HiGrad-HiElev",548,55
"SEN06600-POOR22-DCE-2012-0816-09:25","BCG_MariNW_Bugs500ct","HiGrad-HiElev",550,64
"SEN06600-POOR22-DCE-2013-0820-10:00","BCG_MariNW_Bugs500ct","HiGrad-HiElev",543,46
"SEN06600-POOR22-DCE-2014-0827-10:12","BCG_MariNW_Bugs500ct","HiGrad-HiElev",517,44
