"SAMPLEID","INDEX_NAME","SITE_TYPE","L1","L2","L3","L4","L5","L6"
"09015DFWd","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0,1,0,0
"09054DFW","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,1,0,0,0
"09106DFW","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.6,0.4,0,0,0
"14005RBS","BCG_MariNW_Bugs500ct","higrad-hielev",0,1,0,0,0,0
"14008RBS","BCG_MariNW_Bugs500ct","higrad-hielev",0,1,0,0,0,0
"14015RBS","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.4,0.6,0,0,0
"15009TRD","BCG_MariNW_Bugs500ct","higrad-hielev",0,1,0,0,0,0
"15010TRD","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.2,0.8,0,0,0
"16001TRD","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,1,0,0,0
"16010TRD","BCG_MariNW_Bugs500ct","higrad-hielev",0,1,0,0,0,0
"16018PRB","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.0999999999999996,0.9,0,0,0
"17003TRD","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.4,0.6,0,0,0
"17014TRD","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.833333333333333,0.16666667,0,0,0
"5772_8645","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.610225140712945,0.38977486,0,0,0
"7296_11895","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0.8,0.2,0,0
"8160_13009","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,1,0,0,0
"8758_13684","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.6,0.4,0,0,0
"8760_13686","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0.551463715053874,0.44853628,0,0
"8783_13706","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,1,0,0,0
"9132_14066","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0.86994219653179,0.1300578,0,0
"9259_14262","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0.43490054249548,0.56509946,0,0
"9708_14726","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.166666666666667,0.83333333,0,0,0
"9769_14788","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,1,0,0,0
"BIO06600-BIGC04-DCE-2012-0828-10:25","BCG_MariNW_Bugs500ct","higrad-hielev",0,1,0,0,0,0
"BIO06600-BIGC04-DCE-2012-0920-10:50","BCG_MariNW_Bugs500ct","higrad-hielev",0,1,0,0,0,0
"BIO06600-BIGC04-DCE-2015-0727-13:04","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.833333333333333,0.16666667,0,0,0
"BIO06600-BLAC77-DCE-2012-0911-11:15","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0,0.9,0.1,0
"BIO06600-BLAC77-DCE-2014-1006-12:15","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0,1,0,0
"BIO06600-BLAC77-DCE-2016-0817-10:09","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0.8,0.2,0,0
"BIO06600-CAYA04-DCE-2012-0827-10:00","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.72943327239488,0.27056673,0,0,0
