INDEX_NAME,INDEX_CLASS,SAMPLEID,TAXAID,N_TAXA,NONTARGET,Thermal_indicator,Phylum,Class,Subclass,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus
Therm_ORWA_Bugs500ct,ORWA,SampOD_7103_1,Neoleptophlebia/Paraleptophlebia,4,FALSE,eurythermal,Arthropoda,Insecta,Pterygota,Ephemeroptera,,,Leptophlebiidae,,,Neoleptophlebia/Paraleptophlebia
Therm_ORWA_Bugs500ct,ORWA,SampOD_7103_1,Neophylax rickeri,10,FALSE,cowa,Arthropoda,Insecta,Pterygota,Trichoptera,,Limnephiloidea,Uenoidae,,,Neophylax
Therm_ORWA_Bugs500ct,ORWA,SampOD_7103_1,Neophylax splendens,3,FALSE,cool,Arthropoda,Insecta,Pterygota,Trichoptera,,Limnephiloidea,Uenoidae,,,Neophylax
Therm_ORWA_Bugs500ct,ORWA,SampOD_7103_1,Oligochaeta,1,FALSE,eurythermal,Annelida,Clitellata,Oligochaeta,,,,,,,
Therm_ORWA_Bugs500ct,ORWA,SampOD_7103_1,Optioservus,11,FALSE,warm,Arthropoda,Insecta,Pterygota,Coleoptera,,,Elmidae,,,Optioservus
Therm_ORWA_Bugs500ct,ORWA,SampOD_7103_1,Orthocladiinae,1,FALSE,eurythermal,Arthropoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,
Therm_ORWA_Bugs500ct,ORWA,SampOD_7103_1,Orthocladius (Symposiocladius),1,FALSE,cold,Arthropoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,Orthocladius
Therm_ORWA_Bugs500ct,ORWA,SampOD_7103_1,Orthocladius complex,1,FALSE,warm,Arthropoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,Orthocladius complex
Therm_ORWA_Bugs500ct,ORWA,SampOD_7103_1,Pacifastacus,1,FALSE,warm,Arthropoda,Malacostraca,Eumalacostraca,Decapoda,,,Astacidae,,,Pacifastacus
Therm_ORWA_Bugs500ct,ORWA,SampOD_7103_1,Pagastia,2,FALSE,eurythermal,Arthropoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Diamesinae,Diamesini,Pagastia
Therm_ORWA_Bugs500ct,ORWA,SampOD_7103_1,Parapsyche almota,1,FALSE,cowa,Arthropoda,Insecta,Pterygota,Trichoptera,,,Hydropsychidae,Arctopsychinae,,Parapsyche
Therm_ORWA_Bugs500ct,ORWA,SampOD_7103_1,Polypedilum,3,FALSE,warm,Arthropoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,Polypedilum
Therm_ORWA_Bugs500ct,ORWA,SampOD_7103_1,Rheocricotopus,1,FALSE,eurythermal,Arthropoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,Rheocricotopus
Therm_ORWA_Bugs500ct,ORWA,SampOD_7103_1,Rheotanytarsus,2,FALSE,warm,Arthropoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Tanytarsini,Rheotanytarsus
Therm_ORWA_Bugs500ct,ORWA,SampOD_7103_1,Rhithrogena,3,FALSE,cool,Arthropoda,Insecta,Pterygota,Ephemeroptera,,,Heptageniidae,,,Rhithrogena
Therm_ORWA_Bugs500ct,ORWA,SampOD_7103_1,Rhyacophila betteni group,3,FALSE,cool,Arthropoda,Insecta,Pterygota,Trichoptera,,,Rhyacophilidae,,,Rhyacophila
Therm_ORWA_Bugs500ct,ORWA,SampOD_7103_1,Rhyacophila blarina,10,FALSE,cool,Arthropoda,Insecta,Pterygota,Trichoptera,,,Rhyacophilidae,,,Rhyacophila
Therm_ORWA_Bugs500ct,ORWA,SampOD_7103_1,Rhyacophila brunnea/vemna groups,1,FALSE,cool,Arthropoda,Insecta,Pterygota,Trichoptera,,,Rhyacophilidae,,,Rhyacophila
Therm_ORWA_Bugs500ct,ORWA,SampOD_7103_1,Rhyacophila hyalinata group,1,FALSE,cool,Arthropoda,Insecta,Pterygota,Trichoptera,,,Rhyacophilidae,,,Rhyacophila
Therm_ORWA_Bugs500ct,ORWA,SampOD_7103_1,Rhyacophila narvae,12,FALSE,cool,Arthropoda,Insecta,Pterygota,Trichoptera,,,Rhyacophilidae,,,Rhyacophila
Therm_ORWA_Bugs500ct,ORWA,SampOD_7103_1,Sialis,2,FALSE,warm,Arthropoda,Insecta,Pterygota,Megaloptera,,,Sialidae,,,Sialis
Therm_ORWA_Bugs500ct,ORWA,SampOD_7103_1,Simulium,27,FALSE,eurythermal,Arthropoda,Insecta,Pterygota,Diptera,Nematocera,,Simuliidae,,,Simulium
Therm_ORWA_Bugs500ct,ORWA,SampOD_7103_1,Skwala,11,FALSE,cowa,Arthropoda,Insecta,Pterygota,Plecoptera,,,Perlodidae,,,Skwala
Therm_ORWA_Bugs500ct,ORWA,SampOD_7103_1,Sweltsa,22,FALSE,cool,Arthropoda,Insecta,Pterygota,Plecoptera,,,Chloroperlidae,Chloroperlinae,,Sweltsa
Therm_ORWA_Bugs500ct,ORWA,SampOD_7103_1,Tanypodinae,4,FALSE,eurythermal,Arthropoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,,
Therm_ORWA_Bugs500ct,ORWA,SampOD_7103_1,Tanytarsini,3,FALSE,eurythermal,Arthropoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Tanytarsini,
Therm_ORWA_Bugs500ct,ORWA,SampOD_7103_1,Thienemanniella,1,FALSE,eurythermal,Arthropoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,Thienemanniella
Therm_ORWA_Bugs500ct,ORWA,SampOD_7103_1,Tvetenia bavarica group,4,FALSE,cool,Arthropoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,Tvetenia
Therm_ORWA_Bugs500ct,ORWA,SampOD_7103_1,Zaitzevia,6,FALSE,warm,Arthropoda,Insecta,Pterygota,Coleoptera,,,Elmidae,,,Zaitzevia
Therm_ORWA_Bugs500ct,ORWA,SampOD_7103_1,Zavrelimyia,2,FALSE,cool,Arthropoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Pentaneurini,Zavrelimyia
Therm_ORWA_Bugs500ct,ORWA,SampOD_7104_1,Acari,1,FALSE,eurythermal,Arthropoda,Arachnida,Acari,,,,,,,
Therm_ORWA_Bugs500ct,ORWA,SampOD_7104_1,Alotanypus,3,FALSE,warm,Arthropoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Coelotanypodini,Alotanypus
Therm_ORWA_Bugs500ct,ORWA,SampOD_7104_1,Ceratopogoninae,3,FALSE,eurythermal,Arthropoda,Insecta,Pterygota,Diptera,Nematocera,,Ceratopogonidae,Ceratopogoninae,,
Therm_ORWA_Bugs500ct,ORWA,SampOD_7104_1,Chironomini,2,FALSE,warm,Arthropoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,
Therm_ORWA_Bugs500ct,ORWA,SampOD_7104_1,Dixella,1,FALSE,cowa,Arthropoda,Insecta,Pterygota,Diptera,Nematocera,,Dixidae,,,Dixella
Therm_ORWA_Bugs500ct,ORWA,SampOD_7104_1,Drunella doddsii,1,FALSE,cool,Arthropoda,Insecta,Pterygota,Ephemeroptera,,,Ephemerellidae,,,Drunella
Therm_ORWA_Bugs500ct,ORWA,SampOD_7104_1,Heterotrissocladius,4,FALSE,cool,Arthropoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,Heterotrissocladius
Therm_ORWA_Bugs500ct,ORWA,SampOD_7104_1,Hexatoma,1,FALSE,cowa,Arthropoda,Insecta,Pterygota,Diptera,Nematocera,,Tipulidae,,,Hexatoma
Therm_ORWA_Bugs500ct,ORWA,SampOD_7104_1,Micropsectra,17,FALSE,eurythermal,Arthropoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Tanytarsini,Micropsectra
Therm_ORWA_Bugs500ct,ORWA,SampOD_7104_1,Muscidae,1,FALSE,eurythermal,Arthropoda,Insecta,Pterygota,Diptera,Brachycera,,Muscidae,,,
Therm_ORWA_Bugs500ct,ORWA,SampOD_7104_1,Natarsia,2,FALSE,cool,Arthropoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Natarsiini,Natarsia
Therm_ORWA_Bugs500ct,ORWA,SampOD_7104_1,Neoleptophlebia/Paraleptophlebia,3,FALSE,eurythermal,Arthropoda,Insecta,Pterygota,Ephemeroptera,,,Leptophlebiidae,,,Neoleptophlebia/Paraleptophlebia
Therm_ORWA_Bugs500ct,ORWA,SampOD_7104_1,Optioservus,2,FALSE,warm,Arthropoda,Insecta,Pterygota,Coleoptera,,,Elmidae,,,Optioservus
Therm_ORWA_Bugs500ct,ORWA,SampOD_7104_1,Ormosia,1,FALSE,,Arthropoda,Insecta,Pterygota,Diptera,Nematocera,,Tipulidae,,,Ormosia
