TaxaID,SampleID,CollDate,N_TAXA,Changed,Rationale,OTU_BCG_MariNW,Match_Official,NonTarget,BCG_attr,FFG,Life_Cycle,Habitat,Noteworthy,Thermal_indicator,ThermTol_Less30,MWMT_WAopt,MWMT_PCT90,Therm_TopIndicator,ThermVar,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species,Taxon_Group
Cricotopus (Nostococladius),05014REF,8/3/2005,1,no,FORMATTING,Cricotopus (Nostococladius),TRUE,FALSE,2,MH,multi,SPEC,TRUE,eurythermal,,19.31389901,23.408,,,568516,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cricotopus,Nostococladius,,,,,Chironomidae
Diphetor hageni,05014REFa,8/3/2005,8,yes,Single species in genus,Diphetor,TRUE,FALSE,4,CG,multi,RHEO,NA,cowa,,19.24351465,22.93,coolwarm,,568550,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Diphetor,,,,,,Ephemeroptera
Diphetor hageni,06095DFW,8/7/2006,1,yes,Single species in genus,Diphetor,TRUE,FALSE,4,CG,multi,RHEO,NA,cowa,,19.24351465,22.93,coolwarm,,568550,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Diphetor,,,,,,Ephemeroptera
Diphetor hageni,05014REF,8/3/2005,3,yes,Single species in genus,Diphetor,TRUE,FALSE,4,CG,multi,RHEO,NA,cowa,,19.24351465,22.93,coolwarm,,568550,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Diphetor,,,,,,Ephemeroptera
Drunella doddsii,05014REF,8/3/2005,1,no,,Drunella doddsii,TRUE,FALSE,3,SC,semi,RHEO,NA,cool,,15.53954278,20.55,cool,,698494,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Ephemerellidae,,,,Drunella,,,,,doddsii,Ephemeroptera
Drunella doddsii,06095DFW,8/7/2006,13,no,,Drunella doddsii,TRUE,FALSE,3,SC,semi,RHEO,NA,cool,,15.53954278,20.55,cool,,698494,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Ephemerellidae,,,,Drunella,,,,,doddsii,Ephemeroptera
Drunella doddsii,05014REFa,8/3/2005,1,no,,Drunella doddsii,TRUE,FALSE,3,SC,semi,RHEO,NA,cool,,15.53954278,20.55,cool,,698494,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Ephemerellidae,,,,Drunella,,,,,doddsii,Ephemeroptera
Epeorus,05014REF,8/3/2005,1,no,,Epeorus,TRUE,FALSE,3,SC,uni,RHEO,NA,eurythermal,,15.39618975,22.106,,yes,100626,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Heptageniidae,,,,Epeorus,,,,,,Ephemeroptera
Epeorus grandis group,05014REFa,8/3/2005,4,no,Formatting,Epeorus grandis group,TRUE,FALSE,2,SC,uni,RHEO,NA,cold,,13.61842129,18.622,cold,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Heptageniidae,,,,Epeorus,,Grandis Gr.,,,,Ephemeroptera
Epeorus grandis group,05014REF,8/3/2005,3,no,Formatting,Epeorus grandis group,TRUE,FALSE,2,SC,uni,RHEO,NA,cold,,13.61842129,18.622,cold,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Heptageniidae,,,,Epeorus,,Grandis Gr.,,,,Ephemeroptera
