INDEX_CLASS,INDEX_NAME,SourceEntity,StationID,SampleID_Tt,SampleID,RepNum_new,CollDate,TaxaID,N_TAXA,NonTarget,Phylum,Class,Subclass,Order,Family,Subfamily,Tribe,Genus,BCG_Attr,FFG,Life_Cycle,Noteworthy
HiGrad-HiElev,BCG_MariNW_Bugs500ct,King County - DNRP,2363,Tt_524,8160_13009,13009,9/21/2015,Hydropsyche,103,FALSE,Arthropoda,Insecta,NA,Trichoptera,Hydropsychidae,Hydropsychinae,NA,Hydropsyche,4,CF,uni,NA
HiGrad-HiElev,BCG_MariNW_Bugs500ct,King County - DNRP,2363,Tt_524,8160_13009,13009,9/21/2015,Ironodes,2,FALSE,Arthropoda,Insecta,NA,Ephemeroptera,Heptageniidae,NA,NA,Ironodes,3,SC,uni,NA
HiGrad-HiElev,BCG_MariNW_Bugs500ct,King County - DNRP,2363,Tt_524,8160_13009,13009,9/21/2015,Kogotus/Rickera,2,FALSE,Arthropoda,Insecta,NA,Plecoptera,Perlodidae,Perlodinae,Diploperlini,Kogotus/Rickera,4,PR,uni,NA
HiGrad-HiElev,BCG_MariNW_Bugs500ct,King County - DNRP,2363,Tt_524,8160_13009,13009,9/21/2015,Lara,2,FALSE,Arthropoda,Insecta,NA,Coleoptera,Elmidae,Larainae,NA,Lara,4,XY,semi,NA
HiGrad-HiElev,BCG_MariNW_Bugs500ct,King County - DNRP,2363,Tt_524,8160_13009,13009,9/21/2015,Lepidostoma,6,FALSE,Arthropoda,Insecta,NA,Trichoptera,Lepidostomatidae,Lepidostomatinae,NA,Lepidostoma,3,SH,uni,NA
HiGrad-HiElev,BCG_MariNW_Bugs500ct,King County - DNRP,2363,Tt_524,8160_13009,13009,9/21/2015,Leuctridae,3,FALSE,Arthropoda,Insecta,NA,Plecoptera,Leuctridae,NA,NA,NA,3,SH,uni,NA
HiGrad-HiElev,BCG_MariNW_Bugs500ct,King County - DNRP,2363,Tt_524,8160_13009,13009,9/21/2015,Micrasema,1,FALSE,Arthropoda,Insecta,NA,Trichoptera,Brachycentridae,NA,NA,Micrasema,3,CG,semi,NA
HiGrad-HiElev,BCG_MariNW_Bugs500ct,King County - DNRP,2363,Tt_524,8160_13009,13009,9/21/2015,Micropsectra,6,FALSE,Arthropoda,Insecta,NA,Diptera,Chironomidae,Chironominae,Tanytarsini,Micropsectra,4,CG,multi,NA
HiGrad-HiElev,BCG_MariNW_Bugs500ct,King County - DNRP,2363,Tt_524,8160_13009,13009,9/21/2015,Moselia infuscata,2,FALSE,Arthropoda,Insecta,NA,Plecoptera,Leuctridae,Leuctrinae,NA,Moselia,2,SH,uni,TRUE
HiGrad-HiElev,BCG_MariNW_Bugs500ct,King County - DNRP,2363,Tt_524,8160_13009,13009,9/21/2015,Nemata,2,FALSE,Nemata,NA,NA,NA,NA,NA,NA,NA,4,PA,uni,NA
HiGrad-HiElev,BCG_MariNW_Bugs500ct,King County - DNRP,2363,Tt_524,8160_13009,13009,9/21/2015,Nemouridae,1,FALSE,Arthropoda,Insecta,NA,Plecoptera,Nemouridae,NA,NA,NA,4,SH,UNKN,NA
HiGrad-HiElev,BCG_MariNW_Bugs500ct,King County - DNRP,2363,Tt_524,8160_13009,13009,9/21/2015,Neoleptophlebia/Paraleptophlebia,12,FALSE,Arthropoda,Insecta,NA,Ephemeroptera,Leptophlebiidae,NA,NA,Neoleptophlebia/Paraleptophlebia,3,CG,uni,NA
